Date,Timestamp,Volume,Open,High,Low,Close,EURUSD
20190204,09:05:00,2412.17999410629,1.14493,1.14529,1.14491,1.14522,EURUSD,
20190204,09:10:00,2510.76999425888,1.14521,1.14534,1.14499,1.14504,EURUSD,
20190204,09:15:00,2515.71999716759,1.14504,1.14514,1.14494,1.14502,EURUSD,
20190204,09:20:00,2007.48999643326,1.14502,1.14502,1.14464,1.14492,EURUSD,
20190204,09:25:00,1987.67999529839,1.14492,1.14492,1.14446,1.1445,EURUSD,
20190204,09:30:00,1719.03000164032,1.1445,1.14476,1.1444,1.14461,EURUSD,
20190204,09:35:00,1910.41999292374,1.1446,1.14503,1.1446,1.14491,EURUSD,
20190204,09:40:00,1853.79999363422,1.14492,1.14492,1.14471,1.14488,EURUSD,
20190204,09:45:00,1870.37999916077,1.14488,1.14494,1.1444,1.1445,EURUSD,
20190204,09:50:00,1646.47999465466,1.14451,1.14472,1.14443,1.14468,EURUSD,
20190204,09:55:00,3140.48999273777,1.14467,1.14469,1.14441,1.14453,EURUSD,
20190204,10:00:00,2197.51999521255,1.14452,1.14455,1.14415,1.14418,EURUSD,
20190204,10:05:00,1710.89999473095,1.14419,1.14446,1.14414,1.14437,EURUSD,
20190204,10:10:00,2238.41999042034,1.14436,1.14438,1.1441,1.14412,EURUSD,
20190204,10:15:00,2227.85999262333,1.14412,1.14431,1.14406,1.14427,EURUSD,
20190204,10:20:00,2364.20998942852,1.14427,1.14449,1.14426,1.14441,EURUSD,
20190204,10:25:00,2510.6799916029,1.1444,1.14448,1.14415,1.14423,EURUSD,
20190204,10:30:00,2054.27999520302,1.14423,1.14453,1.14423,1.14447,EURUSD,
20190204,10:35:00,2782.86999046803,1.14447,1.14462,1.14445,1.1446,EURUSD,
20190204,10:40:00,1792.20999419689,1.1446,1.1447,1.14456,1.14462,EURUSD,
20190204,10:45:00,1917.7399892807,1.14461,1.14477,1.14447,1.14471,EURUSD,
20190204,10:50:00,1248.64999341965,1.14471,1.1448,1.14467,1.14479,EURUSD,
20190204,10:55:00,1704.54999268055,1.14479,1.14482,1.14456,1.14465,EURUSD,
20190204,11:00:00,2238.72998869419,1.14466,1.14515,1.14464,1.14501,EURUSD,
20190204,11:05:00,1605.28999781609,1.14501,1.14502,1.14475,1.14486,EURUSD,
20190204,11:10:00,1159.27999567986,1.14486,1.14497,1.1448,1.1448,EURUSD,
20190204,11:15:00,1393.43999314308,1.1448,1.14498,1.14471,1.14491,EURUSD,
20190204,11:20:00,1725.38999414444,1.14491,1.14517,1.14491,1.14495,EURUSD,
20190204,11:25:00,1808.89999854565,1.14496,1.14501,1.14463,1.14464,EURUSD,
20190204,11:30:00,1964.62000024319,1.14465,1.14496,1.14449,1.14491,EURUSD,
20190204,11:35:00,1799.00000178814,1.1449,1.14497,1.14477,1.14491,EURUSD,
20190204,11:40:00,1682.11999845505,1.1449,1.14525,1.1449,1.14519,EURUSD,
20190204,11:45:00,1951.8799983263,1.14519,1.14527,1.1451,1.14521,EURUSD,
20190204,11:50:00,1771.30999529362,1.14521,1.14542,1.14515,1.14536,EURUSD,
20190204,11:55:00,1880.83999693394,1.14537,1.14537,1.14513,1.14518,EURUSD,
20190204,12:00:00,1845.56000065804,1.14518,1.14526,1.14498,1.145,EURUSD,
20190204,12:05:00,1699.6700001955,1.14501,1.14526,1.14499,1.14499,EURUSD,
20190204,12:10:00,1366.55999398232,1.14499,1.14524,1.14498,1.14504,EURUSD,
20190204,12:15:00,1679.61999988556,1.14503,1.14512,1.145,1.14504,EURUSD,
20190204,12:20:00,1059.94999682903,1.14502,1.14516,1.14499,1.14515,EURUSD,
20190204,12:25:00,1580.42999505997,1.14516,1.14521,1.14488,1.1449,EURUSD,
20190204,12:30:00,1681.04000127316,1.1449,1.14507,1.14484,1.14488,EURUSD,
20190204,12:35:00,1919.3400002718,1.14488,1.14488,1.1445,1.14462,EURUSD,
20190204,12:40:00,2171.33999419212,1.14462,1.14464,1.14413,1.14421,EURUSD,
20190204,12:45:00,1637.19999265671,1.14421,1.14438,1.14419,1.1442,EURUSD,
20190204,12:50:00,2115.94999027252,1.1442,1.14446,1.14417,1.14443,EURUSD,
20190204,12:55:00,2860.54999363422,1.14442,1.14477,1.14441,1.14477,EURUSD,
20190204,13:00:00,2485.46999752522,1.14475,1.14478,1.14432,1.14439,EURUSD,
20190204,13:05:00,1732.72999322414,1.14442,1.14449,1.1443,1.14443,EURUSD,
20190204,13:10:00,1550.50999927521,1.14443,1.14451,1.14429,1.14446,EURUSD,
20190204,13:15:00,1508.9899930954,1.14446,1.14457,1.14441,1.1445,EURUSD,
20190204,13:20:00,1841.1899985075,1.14452,1.14486,1.14449,1.1448,EURUSD,
20190204,13:25:00,1448.12999916077,1.14479,1.14494,1.1447,1.14484,EURUSD,
